#,Pokemon,,,New Sprites,Sprites Set,Sprites,Type 1,Type 2,HP,Atk,Def,SpA,SpD,Spe,Total,AVG,Ability 1,Ability 2,Ability 3,Fully evolved,Generation
1,Bulbasaur,Bulbasaur,,,,,Grass,Poison,45,49,49,65,65,45,318,53,Overgrow,,Chlorophyll,No,1
2,Ivysaur,Ivysaur,,,,,Grass,Poison,60,62,63,80,80,60,405,67.5,Overgrow,,Chlorophyll,No,1
3,Venusaur,Venusaur,,,,,Grass,Poison,80,82,83,100,100,80,525,87.5,Overgrow,,Chlorophyll,Yes,1
3,Mega Venusaur,Mega Venusaur,,,,,Grass,Poison,80,100,123,122,120,80,625,104.17,Thick Fat,,,Yes,6
4,Charmander,Charmander,,,,,Fire,,39,52,43,60,50,65,309,51.5,Blaze,,Solar Power,No,1
5,Charmeleon,Charmeleon,,,,,Fire,,58,64,58,80,65,80,405,67.5,Blaze,,Solar Power,No,1
6,Charizard,Charizard,,,,,Fire,Flying,78,84,78,109,85,100,534,89,Blaze,,Solar Power,Yes,1
6,Mega Charizard X,Mega Charizard X,,,,,Fire,Dragon,78,130,111,130,85,100,634,105.67,Tough Claws,,,Yes,6
6,Mega Charizard Y,Mega Charizard Y,,,,,Fire,Flying,78,104,78,159,115,100,634,105.67,Drought,,,Yes,6
7,Squirtle,Squirtle,,,,,Water,,44,48,65,50,64,43,314,52.33,Torrent,,Rain Dish,No,1
8,Wartortle,Wartortle,,,,,Water,,59,63,80,65,80,58,405,67.5,Torrent,,Rain Dish,No,1
9,Blastoise,Blastoise,,,,,Water,,79,83,100,85,105,78,530,88.33,Torrent,,Rain Dish,Yes,1
9,Mega Blastoise,Mega Blastoise,,,,,Water,,79,103,120,135,115,78,630,105,Mega Launcher,,,Yes,6
10,Caterpie,Caterpie,,,,,Bug,,45,30,35,20,20,45,195,32.5,Shield Dust,,Run Away,No,1
11,Metapod,Metapod,,,,,Bug,,50,20,55,25,25,30,205,34.17,Shed Skin,,,No,1
12,Butterfree,Butterfree,,,,,Bug,Flying,60,45,50,90,80,70,395,65.83,Compound Eyes,,Tinted Lens,Yes,1
13,Weedle,Weedle,,,,,Bug,Poison,40,35,30,20,20,50,195,32.5,Shield Dust,,Run Away,No,1
14,Kakuna,Kakuna,,,,,Bug,Poison,45,25,50,25,25,35,205,34.17,Shed Skin,,,No,1
15,Beedrill,Beedrill,,,,,Bug,Poison,65,90,40,45,80,75,395,65.83,Swarm,,Sniper,Yes,1
15,Mega Beedrill,Mega Beedrill,,,,,Bug,Poison,65,150,40,15,80,145,495,82.5,Adaptability,,,Yes,6
16,Pidgey,Pidgey,,,,,Normal,Flying,40,45,40,35,35,56,251,41.83,Keen Eye,Tangled Feet,Big Pecks,No,1
17,Pidgeotto,Pidgeotto,,,,,Normal,Flying,63,60,55,50,50,71,349,58.17,Keen Eye,Tangled Feet,Big Pecks,No,1
18,Pidgeot,Pidgeot,,,,,Normal,Flying,83,80,75,70,70,101,479,79.83,Keen Eye,Tangled Feet,Big Pecks,Yes,1
18,Mega Pidgeot,Mega Pidgeot,,,,,Normal,Flying,83,80,80,135,80,121,579,96.5,No Guard,,,Yes,6
19,Rattata,Rattata,,,,,Normal,,30,56,35,25,35,72,253,42.17,Run Away,Guts,Hustle,No,1
19,Alolan Rattata,Alolan Rattata,,,,,Dark,Normal,30,56,35,25,35,72,253,42.17,Gluttony,Hustle,Thick Fat,No,7
20,Raticate,Raticate,,,,,Normal,,55,81,60,50,70,97,413,68.83,Run Away,Guts,Hustle,Yes,1
20,Alolan Raticate,Alolan Raticate,,,,,Dark,Normal,75,71,70,40,80,77,413,68.83,Gluttony,Hustle,Thick Fat,Yes,7
21,Spearow,Spearow,,,,,Normal,Flying,40,60,30,31,31,70,262,43.67,Keen Eye,,Sniper,No,1
22,Fearow,Fearow,,,,,Normal,Flying,65,90,65,61,61,100,442,73.67,Keen Eye,,Sniper,Yes,1
23,Ekans,Ekans,,,,,Poison,,35,60,44,40,54,55,288,48,Intimidate,Shed Skin,Unnerve,No,1
24,Arbok,Arbok,,,,,Poison,,60,95,69,65,79,80,448,74.67,Intimidate,Shed Skin,Unnerve,Yes,1
25,Pikachu,Pikachu,,,,,Electric,,35,55,40,50,50,90,320,53.33,Static,,Lightning Rod,No,1
25,Starter Pikachu,Starter Pikachu,,,,,Electric,,45,80,50,75,60,120,430,71.67,Static,,Lightning Rod,Yes,7
26,Raichu,Raichu,,,,,Electric,,60,90,55,90,80,110,485,80.83,Static,,Lightning Rod,Yes,1
26,Alolan Raichu,Alolan Raichu,,,,,Electric,Psychic,60,85,50,95,85,110,485,80.83,Surge Surfer,,,Yes,7
27,Sandshrew,Sandshrew,,,,,Ground,,50,75,85,20,30,40,300,50,Sand Veil,,Sand Rush,No,1
27,Alolan Sandshrew,Alolan Sandshrew,,,,,Ice,Steel,50,75,90,10,35,40,300,50,Snow Cloak,,Slush Rush,No,7
28,Sandslash,Sandslash,,,,,Ground,,75,100,110,45,55,65,450,75,Sand Veil,,Sand Rush,Yes,1
